text,count
MEXICO,47423
USA,29455
<empty>,15202
CHINA,12008
PERU,11819
CANADA,11809
PAPUA NEW GUINEA,11186
PHILIPPINES,11070
CONGO (BELGIAN CONGO),8399
INDIA,6260
RUSSIA,5852
BRAZIL,5169
JAPAN,3958
INDONESIA,3474
CONGO FREESTATE,3305
NIGERIA,2545
GUATEMALA,2363
COSTA RICA,2316
SOLOMON ISLANDS,2137
REPUBLIC OF FIJI,2078
KENYA,1648
PAPUA NEW GUINEA?/INDONESIA?,1483
AUSTRALIA,1344
ARGENTINA,1292
ECUADOR,1275
GREENLAND,1098
PANAMA,1090
KOREA,1054
COLOMBIA,1012
ZAMBIA?,1011
DUTCH GUIANA,944
VENEZUELA,877
CHINA ?,870
EL SALVADOR?,859
"USA?, CANADA?",857
AFGHANISTAN,848
MALAYSIA,842
GHANA,836
CAMEROON,775
MEXICO?,771
VIETNAM,769
EL SALVADOR,753
NICARAGUA,749
LIBERIA,735
MYANMAR,717
SPANISH HONDURAS,673
TANZANIA,633
BOLIVIA,610
UGANDA,586
REPUBLIC OF VANUATU,580
BRITISH GUIANA,533
SOLOMON ISLANDS?,518
SOUTH AFRICA?,506
USA?,465
NEW ZEALAND,460
"ZAIRE?, CONGO?",459
ETHIOPIA,456
IRAN,446
ANGOLA,431
BOTSWANA,430
BOTSWANA?,424
CHILE,405
GHANA?,399
TAIWAN,386
SAMOA,379
FRENCH POLYNESIA (FRANCE),352
NEW GUINEA,348
PARAGUAY,347
TOGO,341
ZIMBABWE,339
MADAGASCAR,336
TURKEY,335
SOUTH AFRICA,335
THAILAND,333
"CONGO?, ZAIRE?",326
FRENCH GUIANA,324
HONDURAS,321
PAKISTAN,303
FEDERATED STATES OF MICRONESIA,298
MOROCCO,295
NEPAL,294
COTE D'IVOIRE,273
REPUBLIC OF KIRIBATI,263
EAST AFRICA,248
SUDAN,237
BURKINA FASO,226
COOK ISLANDS (NEW ZEALAND),225
FRENCH EQUATORIAL AFRICA,221
MONGOLIA,214
INDIA ?,213
BELIZE,201
ALGERIA,200
ARMENIA,198
SUDAN?,195
EGYPT,194
MALI,191
NORTH AFRICA,181
SOUTHERN AFRICA?,176
CONGO,161
SIAM,151
MOZAMBIQUE,148
KENYA?,140
SYRIA,134
"MEXICO?, GUATEMALA?",132
EAST AFRICA/KENYA?,131
KUWAIT,115
UZBEKISTAN,113
SAUDI ARABIA,113
SIERRA LEONE,111
SENEGAL,111
NIGER,109
JAPAN ?,108
SOUTHWEST AFRICA/BOTSWANA?,105
EAST AFRICA?,103
"COLOMBIA?, BRAZIL?",96
NIGERIA?,96
CONGO (BELGIAN CONGO)?,96
COLOMBIA?,95
ZAIRE?,93
LAOS,92
ZAIRE,90
CAMEROON?,85
EQUATORIAL GUINEA,84
JAMAICA,80
CHINA (PEOPLE'S REPUBLIC OF CHINA),79
BRAZIL?,79
SERBIA,78
TANZANIA?,78
"SENEGAL?, MALI?",76
YEMEN,70
ZIMBABWE?,70
ETHIOPIA?,69
CEYLON,68
CONGO?,68
UGANDA?,68
OMAN,67
THAILAND/LAOS,64
CHAD,63
COTE D'IVOIRE?,61
BHUTAN OR INDIA,60
NEPAL OR INDIA,59
PERU?,59
HAITI,59
SOUTHERN AFRICA,59
MACEDONIA,55
BENIN,55
CANADA?,53
MYANMAR ?,50
TURKMENISTAN,48
SOMALIA (BRITISH SOMALILAND),48
"RUANDA?, RWANDA?",48
RWANDA,47
LIBERIA?,45
SOMALIA,44
FINLAND,42
BHUTAN,42
KINGDOM OF TONGA,41
SOUTHWEST AFRICA?/NAMIBIA?,41
NORTH AFRICA?,40
BOLIVIA?,39
WEST AFRICA,39
GAMBIA,38
CUBA,36
(CHINA),35
MYANMAR (BURMA),35
NAMIBIA,33
