text,count
1910 [PURCHASE],9307
1936 [EXPEDITION],7908
<empty>,7872
1902 [EXPEDITION],5400
1905 [PURCHASE],4242
1934 [GIFT],3944
1903 [EXPEDITION],3871
1898 [EXPEDITION],3582
1915 [EXPEDITION],3407
1909 [PURCHASE],3250
1907 [GIFT],3241
1984,3211
1900 [GIFT],2857
1891-1893 [PURCHASE],2812
1897 [EXPEDITION],2757
1901 [EXPEDITION],2653
1957 [PURCHASE],2617
1933 [EXPEDITION],2613
1946 [GIFT],2596
1931 [EXPEDITION],2413
1981 [GIFT],2405
1961 [TRANSFER],2386
1932 [EXPEDITION],2380
1894 [PURCHASE],2375
1951 [GIFT],2335
1910 [EXPEDITION],2317
1904 [EXPEDITION],2313
1973 [PURCHASE],2007
1937 [GIFT],2001
1943 [EXPEDITION],1978
1910,1971
1929 [EXPEDITION],1924
1940 [EXPEDITION],1919
1901 [PURCHASE],1887
1907 [PURCHASE],1845
1951 [PURCHASE],1765
1915 [PURCHASE],1762
1963 [GIFT],1708
1902,1699
1896,1683
1901 [GIFT],1618
1912 [EXPEDITION],1615
1898,1588
1869-1890,1530
1954 [PURCHASE],1524
1963 [PURCHASE],1522
1940 [GIFT],1466
1923 [PERMANENT LOAN],1452
1959 [PURCHASE],1427
1928 [GIFT],1423
1983 [GIFT],1391
1958 [PURCHASE],1297
1964 [PURCHASE],1297
1930,1284
1962 [PURCHASE],1283
1947 [GIFT],1266
1939 [GIFT],1264
1911,1254
1916 [PURCHASE],1249
1869-1890 [GIFT],1202
1970 [PURCHASE],1193
1950 [GIFT],1186
1936 [GIFT],1173
1903,1137
1896 [GIFT],1134
1926 [GIFT],1105
1918 [PURCHASE],1079
1909 [EXPEDITION],1074
1900,1066
1899 [EXPEDITION],1065
1949 [GIFT],1049
1968 [GIFT],1022
1980 [GIFT],1007
1899 [GIFT],963
1956 [PURCHASE],959
1942 [GIFT],940
1969 [PURCHASE],929
1904,924
1953 [GIFT],902
1939 [EXPEDITION],893
1898 [GIFT],878
1891-1893 [GIFT],862
1894 [EXPEDITION],850
1899,833
1932 [GIFT],817
1971 [PURCHASE],807
1973 [GIFT],778
1908 [GIFT],766
1911 [PURCHASE],755
1902 [GIFT],747
1905,740
1902 [PURCHASE],729
1960 [PURCHASE],726
1894,724
1944 [PURCHASE],721
1905 [GIFT],715
1906 [EXPEDITION],712
1953 [PURCHASE],705
"1930 [TRANSFER, EXPEDITION]",699
1944 [GIFT],682
1897,675
1954 [GIFT],673
1908 [PURCHASE],670
1967 [PURCHASE],666
1900 [EXPEDITION],647
1927 [GIFT],645
1896 [PURCHASE],636
1957 [GIFT],629
1999 [GIFT],613
1916 [EXPEDITION],604
1952 [GIFT],596
1964 [GIFT],591
1969 [GIFT],590
1901,575
1943 [GIFT],573
1895,569
2000 [PURCHASE],569
1952 [PURCHASE],558
1908,543
1919 [PURCHASE],539
1924 [GIFT],535
1976 [GIFT],527
1915 [GIFT],521
1965 [GIFT],521
1990 [GIFT],513
1908 [EXCHANGE],513
1911 [EXPEDITION],513
1961 [GIFT],504
1961 [EXPEDITION],502
1966 [GIFT],500
1961 [PURCHASE],498
1912 [GIFT],495
1983,492
1907,489
1988 [GIFT],487
1895 [GIFT],486
1914 [GIFT],471
1928 [EXPEDITION],465
