text,count
<empty>,66480
BC,2075
AK,1999
NORTHEAST PERU,1916
SIBERIA,1754
MINDANAO,1736
"TABASCO, COMALCALCO",1678
NEW GUINEA,1664
FIJI,1644
AZ,1624
SOLOMON ISLANDS,1405
"NM, MCKINLEY COUNTY, ZUNI",1321
"NEW GUINEA, AITAPE DISTRICT",1154
OYO,959
"DF/MEXICO (VALLEY OF MEXICO), CHALCO",927
NM,918
"EAST PERU, ALTO UCAYALI",856
"DF/MEXICO, CHICONAUHTLA",840
ANDHRA PRADESH,812
"SINALOA, WEST BANK OF RIO SINALOA, 3.8 MILES SOUTH OF GUASAVE, MOUND, SITE 117",807
PEKIN,791
KASAI,789
"SIBERIA, MARKOWA",756
"OAXACA, MITLA",696
NORTHWEST COAST,681
MINDORO,680
"EAST PERU, RIO TAMBO AREA",662
"(VERACRUZ), TRES ZAPOTES, RANCHITO",658
"ADMIRALTY ISLANDS, MANUS",653
"VERACRUZ, PAVON SITE",644
CA,642
BAROTSELAND,600
"DF/MEXICO, NONOALCO, CAMPO CERRO, EAST TRAVERSE, NORTH NORTH EXTENSION",593
OK,560
VALLEY OF MEXICO,549
"TAMAULIPAS, TAMPICO, LAS FLORES",547
NIANGARA,542
MEDJE,538
"FORMOSA, LAGUNA DE LOS PAJAROS",534
"DF/MEXICO, SAN JUAN TEOTIHUACÁN, GROUP 5'",533
"DF/MEXICO (VALLEY OF MEXICO), AZTAHUACAN",513
SOLOMON ISLANDS?,511
NDOMBE,504
"NEW GUINEA, ON THE AIBOM LAKE",502
LUZON,500
"AK, HAINES BOROUGH, CHILKAT",498
"DF/MEXICO, SAN JUAN TEOTIHUACÁN",488
UPPER UELE,481
"JALISCO, PUEBLO SAN ANDRÉS DE CAMIATA",468
JAVA,464
"BAROTSELAND, LEALUI",463
"OAXACA, XOXOCOTLÁN",459
ANCON,458
"DF/MEXICO, SAN FRANCISCO MAZAPAN",455
"DF/MEXICO, EL ARBOLILLO, TRENCH G",454
WA,452
WI,451
"OAXACA, NOCHISTLAN",442
CUMBERLAND SOUND,438
"BALI, SEBATOE",438
"NEW GUINEA, (TERRITORY OF NEW GUINEA), MADANG DISTRICT",434
"OAXACA, CUILAPA",430
BALI,422
"DF/MEXICO, TEOTIHUACÁN",421
"NORTH GREENLAND, SMITH SOUND",414
SOUTHAMPTON ISLAND,410
"AMAZONAS, RIO CAIARY-UAUPÉS",409
"PARÁ, UPPER PARU DE LESTE RIVER",409
COCLÉ,406
SAN SALVADOR,398
OAXACA? (VALLEY OF OAXACA),398
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL, GENERAL VICINITY OF",394
POKO,389
"BC, VANCOUVER ISLAND, WEST COAST",387
"DF/MEXICO (VALLEY OF MEXICO), XICO",385
"MT, BLAINE COUNTY?, PHILLIPS COUNTY?, FORT BELKNAP INDIAN RESERVATION",384
"BC, THOMPSON RIVER",380
"NM, SANTA FE COUNTY, SAN ILDEFONSO PUEBLO",367
"NM, TAOS COUNTY, TAOS",362
"SIBERIA, MARIINSKY POST",362
"AK, HAINES BOROUGH, KLUKWAN, CHILKAT QWAN",361
SAMOA,358
"BECHUANNALAND, SEROWE",358
"WI, JACKSON COUNTY, BLACK RIVER FALLS",356
"SIBERIA, MOUTH OF ANADYR, MARIINSKY POST",354
"CHIHUAHUA, 10 MILES SOUTH OF CASAS GRANDES, RANCHO SAN DIEGO",353
WESTERN NGAMILAND/DOBE,352
"AK, PORT CLARENCE",351
MATO GROSSO,351
"WEST BRAZIL, RIO GUAPORÉ",348
PENINSULA OF NICOYA,347
FIJI (FIJI ISLAND),344
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, TRENCH C",344
"DF/MEXICO, ZACATENCO, TRENCH D",342
CONONACO RIVER,341
"BC, UPPER SKEENA RIVER",340
SOUTH VENEZUELA,337
"NM, GRANT COUNTY, MIMBRES VALLEY",336
CHIRIQUI,336
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, TRENCH B",332
"DF/MEXICO, SANTIAGO AHUITZOTLA, EL CORRAL VICINITY, TRENCH A, EAST EXTENSION",332
ARUWIMI,331
BETWEEN CUNENE AND COPOROLO-TCHILENGES RIVERS,329
"PUEBLA, TEPEACA",328
IA,327
HUDSON BAY,326
"AK, SITKA BOROUGH, BARANOF ISLAND, SITKA",326
OAXACA,325
"AZ, NAVAJO COUNTY, HOPI INDIAN RESERVATION, FIRST MESA",323
"DF/MEXICO, CALIXTLAHUACA",317
"MATO GROSSO, PIMENTEL BARBOSA RESERVATION",315
"DF/MEXICO, CHICONAUHTLA, TRENCH Z",314
"WI, MENOMINEE COUNTY, MENOMINEE INDIAN RESERVATION",311
"ND, DUNN COUNTY?, MCLEAN COUNTY?, MERCER COUNTY?, MOUNTRAIL COUNTY?, FORT BERTHOLD INDIAN RESERVATION",311
